time,clock_secs,clock_nsecs
2024/11/25 17:43:27.921189095,11884,8000000
2024/11/25 17:43:27.922108831,11884,9000000
2024/11/25 17:43:27.923099216,11884,10000000
2024/11/25 17:43:27.924108757,11884,11000000
2024/11/25 17:43:27.925107395,11884,12000000
2024/11/25 17:43:27.926109016,11884,13000000
2024/11/25 17:43:27.927108991,11884,14000000
2024/11/25 17:43:27.928132069,11884,15000000
2024/11/25 17:43:27.929153480,11884,16000000
2024/11/25 17:43:27.930125715,11884,17000000
2024/11/25 17:43:27.931118401,11884,18000000
2024/11/25 17:43:27.932148965,11884,19000000
2024/11/25 17:43:27.933120684,11884,20000000
2024/11/25 17:43:27.934299063,11884,21000000
2024/11/25 17:43:27.935512466,11884,22000000
2024/11/25 17:43:27.936477175,11884,23000000
2024/11/25 17:43:27.937508358,11884,24000000
2024/11/25 17:43:27.938320429,11884,25000000
2024/11/25 17:43:27.939285743,11884,26000000
2024/11/25 17:43:27.940301308,11884,27000000
2024/11/25 17:43:27.941292809,11884,28000000
2024/11/25 17:43:27.942332787,11884,29000000
2024/11/25 17:43:27.943354442,11884,30000000
2024/11/25 17:43:27.944355466,11884,31000000
2024/11/25 17:43:27.945373386,11884,32000000
2024/11/25 17:43:27.946396584,11884,33000000
2024/11/25 17:43:27.947374544,11884,34000000
2024/11/25 17:43:27.948390980,11884,35000000
2024/11/25 17:43:27.949375410,11884,36000000
2024/11/25 17:43:27.950437418,11884,37000000
2024/11/25 17:43:27.951464391,11884,38000000
2024/11/25 17:43:27.952541616,11884,39000000
2024/11/25 17:43:27.953642564,11884,40000000
2024/11/25 17:43:27.954501001,11884,41000000
2024/11/25 17:43:27.955508303,11884,42000000
2024/11/25 17:43:27.956427671,11884,43000000
2024/11/25 17:43:27.957532822,11884,44000000
2024/11/25 17:43:27.958604827,11884,45000000
2024/11/25 17:43:27.959601444,11884,46000000
2024/11/25 17:43:27.960708670,11884,47000000
2024/11/25 17:43:27.961635122,11884,48000000
2024/11/25 17:43:27.962749598,11884,49000000
2024/11/25 17:43:27.963779462,11884,50000000
2024/11/25 17:43:27.964845641,11884,51000000
2024/11/25 17:43:27.965786714,11884,52000000
2024/11/25 17:43:27.966870275,11884,53000000
2024/11/25 17:43:27.967879569,11884,54000000
2024/11/25 17:43:27.968937141,11884,55000000
2024/11/25 17:43:27.969839679,11884,56000000
2024/11/25 17:43:27.970955198,11884,57000000
2024/11/25 17:43:27.972721588,11884,58000000
2024/11/25 17:43:27.973330806,11884,59000000
2024/11/25 17:43:27.974382714,11884,60000000
2024/11/25 17:43:27.975367125,11884,61000000
2024/11/25 17:43:27.976318190,11884,62000000
2024/11/25 17:43:27.977160829,11884,63000000
2024/11/25 17:43:27.978116921,11884,64000000
2024/11/25 17:43:27.979101424,11884,65000000
2024/11/25 17:43:27.980123071,11884,66000000
2024/11/25 17:43:27.981129623,11884,67000000
2024/11/25 17:43:27.982125098,11884,68000000
2024/11/25 17:43:27.983148187,11884,69000000
2024/11/25 17:43:27.984148917,11884,70000000
2024/11/25 17:43:27.985172835,11884,71000000
2024/11/25 17:43:27.986225824,11884,72000000
2024/11/25 17:43:27.987180911,11884,73000000
2024/11/25 17:43:27.988161287,11884,74000000
2024/11/25 17:43:27.989529561,11884,75000000
2024/11/25 17:43:27.990490551,11884,76000000
2024/11/25 17:43:27.991596834,11884,77000000
2024/11/25 17:43:27.992623342,11884,78000000
2024/11/25 17:43:27.993545859,11884,79000000
2024/11/25 17:43:27.994654984,11884,80000000
2024/11/25 17:43:27.995531896,11884,81000000
2024/11/25 17:43:27.996493287,11884,82000000
2024/11/25 17:43:27.997556774,11884,83000000
2024/11/25 17:43:27.998516006,11884,84000000
2024/11/25 17:43:27.999559618,11884,85000000
2024/11/25 17:43:28.510171,11884,86000000
2024/11/25 17:43:28.1541941,11884,87000000
2024/11/25 17:43:28.2686083,11884,88000000
2024/11/25 17:43:28.3751126,11884,89000000
2024/11/25 17:43:28.4752611,11884,90000000
2024/11/25 17:43:28.5732142,11884,91000000
2024/11/25 17:43:28.6788614,11884,92000000
2024/11/25 17:43:28.7743735,11884,93000000
2024/11/25 17:43:28.8844680,11884,94000000
2024/11/25 17:43:28.9717867,11884,95000000
2024/11/25 17:43:28.10791836,11884,96000000
2024/11/25 17:43:28.11869733,11884,97000000
2024/11/25 17:43:28.12928924,11884,98000000
2024/11/25 17:43:28.13929962,11884,99000000
2024/11/25 17:43:28.14930319,11884,100000000
2024/11/25 17:43:28.15987939,11884,101000000
2024/11/25 17:43:28.16931301,11884,102000000
2024/11/25 17:43:28.18006788,11884,103000000
2024/11/25 17:43:28.19228205,11884,104000000
2024/11/25 17:43:28.20088901,11884,105000000
2024/11/25 17:43:28.21084859,11884,106000000
2024/11/25 17:43:28.22066256,11884,107000000
2024/11/25 17:43:28.23158471,11884,108000000
2024/11/25 17:43:28.24130155,11884,109000000
2024/11/25 17:43:28.25067779,11884,110000000
2024/11/25 17:43:28.26123433,11884,111000000
2024/11/25 17:43:28.27125886,11884,112000000
2024/11/25 17:43:28.28078423,11884,113000000
2024/11/25 17:43:28.29345104,11884,114000000
2024/11/25 17:43:28.30413926,11884,115000000
2024/11/25 17:43:28.31189184,11884,116000000
2024/11/25 17:43:28.32194377,11884,117000000
2024/11/25 17:43:28.33235440,11884,118000000
2024/11/25 17:43:28.34617466,11884,119000000
2024/11/25 17:43:28.35305288,11884,120000000
2024/11/25 17:43:28.36543830,11884,121000000
2024/11/25 17:43:28.37455883,11884,122000000
2024/11/25 17:43:28.38386955,11884,123000000
2024/11/25 17:43:28.39417841,11884,124000000
2024/11/25 17:43:28.40431115,11884,125000000
2024/11/25 17:43:28.41414581,11884,126000000
2024/11/25 17:43:28.42412031,11884,127000000
2024/11/25 17:43:28.43479141,11884,128000000
2024/11/25 17:43:28.44558870,11884,129000000
2024/11/25 17:43:28.45466171,11884,130000000
2024/11/25 17:43:28.46606827,11884,131000000
2024/11/25 17:43:28.47648661,11884,132000000
2024/11/25 17:43:28.48665232,11884,133000000
2024/11/25 17:43:28.49628565,11884,134000000
2024/11/25 17:43:28.50637457,11884,135000000
2024/11/25 17:43:28.51889333,11884,136000000
2024/11/25 17:43:28.52880438,11884,137000000
2024/11/25 17:43:28.54007118,11884,138000000
2024/11/25 17:43:28.54750221,11884,139000000
2024/11/25 17:43:28.55888095,11884,140000000
2024/11/25 17:43:28.56793619,11884,141000000
2024/11/25 17:43:28.57886474,11884,142000000
2024/11/25 17:43:28.58884235,11884,143000000
2024/11/25 17:43:28.59853296,11884,144000000
2024/11/25 17:43:28.60881858,11884,145000000
2024/11/25 17:43:28.61978862,11884,146000000
2024/11/25 17:43:28.63019002,11884,147000000
2024/11/25 17:43:28.64088350,11884,148000000
2024/11/25 17:43:28.65066649,11884,149000000
2024/11/25 17:43:28.66063513,11884,150000000
2024/11/25 17:43:28.67130333,11884,151000000
2024/11/25 17:43:28.68106404,11884,152000000
2024/11/25 17:43:28.69396836,11884,153000000
2024/11/25 17:43:28.70267027,11884,154000000
2024/11/25 17:43:28.71146918,11884,155000000
2024/11/25 17:43:28.72171519,11884,156000000
2024/11/25 17:43:28.73183594,11884,157000000
2024/11/25 17:43:28.74205258,11884,158000000
2024/11/25 17:43:28.75231285,11884,159000000
2024/11/25 17:43:28.76215372,11884,160000000
2024/11/25 17:43:28.77220430,11884,161000000
2024/11/25 17:43:28.78321611,11884,162000000
2024/11/25 17:43:28.79250894,11884,163000000
2024/11/25 17:43:28.80248525,11884,164000000
2024/11/25 17:43:28.81268657,11884,165000000
2024/11/25 17:43:28.82251531,11884,166000000
2024/11/25 17:43:28.83252441,11884,167000000
2024/11/25 17:43:28.84357525,11884,168000000
2024/11/25 17:43:28.85319541,11884,169000000
2024/11/25 17:43:28.86479546,11884,170000000
2024/11/25 17:43:28.87332720,11884,171000000
2024/11/25 17:43:28.88313359,11884,172000000
2024/11/25 17:43:28.89330944,11884,173000000
2024/11/25 17:43:28.90338263,11884,174000000
2024/11/25 17:43:28.91319014,11884,175000000
2024/11/25 17:43:28.92322226,11884,176000000
2024/11/25 17:43:28.93381201,11884,177000000
2024/11/25 17:43:28.94366110,11884,178000000
2024/11/25 17:43:28.95331700,11884,179000000
2024/11/25 17:43:28.96480368,11884,180000000
2024/11/25 17:43:28.97412054,11884,181000000
2024/11/25 17:43:28.98373931,11884,182000000
2024/11/25 17:43:28.99472779,11884,183000000
2024/11/25 17:43:28.100441165,11884,184000000
2024/11/25 17:43:28.101513110,11884,185000000
2024/11/25 17:43:28.102704199,11884,186000000
2024/11/25 17:43:28.103783673,11884,187000000
2024/11/25 17:43:28.104672633,11884,188000000
2024/11/25 17:43:28.105741802,11884,189000000
2024/11/25 17:43:28.106703470,11884,190000000
2024/11/25 17:43:28.107732044,11884,191000000
2024/11/25 17:43:28.108691547,11884,192000000
2024/11/25 17:43:28.109731442,11884,193000000
2024/11/25 17:43:28.110646298,11884,194000000
2024/11/25 17:43:28.111806461,11884,195000000
2024/11/25 17:43:28.112798035,11884,196000000
2024/11/25 17:43:28.113739633,11884,197000000
2024/11/25 17:43:28.114892326,11884,198000000
2024/11/25 17:43:28.115903009,11884,199000000
2024/11/25 17:43:28.116901497,11884,200000000
2024/11/25 17:43:28.117940155,11884,201000000
2024/11/25 17:43:28.119197334,11884,202000000
2024/11/25 17:43:28.120317194,11884,203000000
2024/11/25 17:43:28.121161326,11884,204000000
2024/11/25 17:43:28.121992596,11884,205000000
2024/11/25 17:43:28.123052572,11884,206000000
2024/11/25 17:43:28.124091050,11884,207000000
2024/11/25 17:43:28.125133854,11884,208000000
2024/11/25 17:43:28.126106439,11884,209000000
2024/11/25 17:43:28.127133294,11884,210000000
2024/11/25 17:43:28.128120375,11884,211000000
2024/11/25 17:43:28.129135479,11884,212000000
2024/11/25 17:43:28.130157048,11884,213000000
2024/11/25 17:43:28.131165469,11884,214000000
2024/11/25 17:43:28.132226396,11884,215000000
2024/11/25 17:43:28.133171273,11884,216000000
2024/11/25 17:43:28.134197321,11884,217000000
2024/11/25 17:43:28.135227317,11884,218000000
2024/11/25 17:43:28.136545606,11884,219000000
2024/11/25 17:43:28.137506156,11884,220000000
2024/11/25 17:43:28.138634607,11884,221000000
